þÿ,Unnamed: 0,Satznr,Firmen_KZ,Firma1,Firma2,Strasse,PLZ,Ort,Telefon,Telefax,Homepage,Email,Position,Anrede,Titel,Vorname,Nachname,WZ2003_1,Bezeichn_1,WZ2003_2,Bezeichn_2,WZ2003_3,Bezeichn3,Ust_ID,Amtsgerich,Handelsreg,HandelArt,HandelDatu,Ortsteil,Ortszusatz,Bundesland,Vorwahl,Leitbereic,Einwohner,Flaeche,KFZ_KZ,GeoXY,ID_KZ,BranSuchBez,Land,Anz_Mitarb,Netzwerk,grid-id,Leistungspreis
25,25.0,142128153.0,1.0,CC Erfrischungsgetränke Teutoburger,Wald GmbH & Co. KG,Oldenburger Landstr. 2,49090.0,Osnabrück,01802/118330,,,,,,,,,'51.4,Großhandel mit Gebrauchs- und Verbrauchsgütern,51.34.1,Großhandel mit Getränken* ohne ausgeprägten Schwerpunkt,15.98.0,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,,,,,,Haste,,Niedersachsen,541.0,49000.0,164489.0,119*8,OS,52°18´11.497680 8°2´9.407795,2.0,,DEUTSCHLAND,101 bis 500,SWO Netz* gesamtes Netzgebiet,49074002,76.31
29,29.0,110560759.0,1.0,Enertech GmbH,,Adjutantenkamp 18,58675.0,Hemer,02372/9650,02372/61240,www.giersch.de,info@giersch.de,,,,,,15.92.0,Herstellung von Alkohol,'nan,,'nan,,,,,,,Deilinghofen,,Nordrhein-Westfalen,2372.0,58650.0,37689.0,67*56,MK,51°22´48.487547 7°47´58.347635,1.0,,DEUTSCHLAND,101 bis 500,EVI Energieversorgung Ihmert GmbH & Co KG* gesamtes Stromnetz,56875001,109.99
31,31.0,184789050.0,1.0,Adelholzener Alpenquellen GmbH,,St.-Primus-Str. 1,83313.0,Siegsdorf,08662/620,08662/62101,www.adelholzener.de,info@adelholzener.de,,,,,,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,'nan,,'nan,,,,,,,Bad Adelholzen,,Bayern,8662.0,83260.0,8232.0,56*98,TS,47°48´43.767935 12°36´40.720823,1.0,,DEUTSCHLAND,101 bis 500,Stromversorgung Inzell eG* gesamtes Stromnetz,83334001,138.99
40,40.0,127304283.0,1.0,Danone GmbH,,Gervaisstr. 2,97199.0,Ochsenfurt,09331/950,09331/95302,,,,,,,,15.51.0,Milchverarbeitung,'nan,,'nan,,,,,,,Goßmannsdorf,,Bayern,9331.0,97000.0,11550.0,63*55,WÜ,49°40´40.551096 10°1´56.396244,2.0,Nahrungs- und Nährmittelhersteller,DEUTSCHLAND,101 bis 500,MDN* Netz ÜWS Netz GmbH (Regelzone EnBW),90429303,125.28
49,49.0,160148757.0,1.0,Tulip Food Company GmbH,,Dollenweg 5,48465.0,Schüttorf,05923/8020,05923/7761,,,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,,,,,,,,Niedersachsen,5923.0,48400.0,11573.0,11*23,NOH,52°18´56.348675 7°13´36.419412,2.0,,DEUTSCHLAND,101 bis 500,SW Schüttorf-Emsbüren* Netzgebiet ehemals SW Schüttorf,48465001,62.23
55,55.0,103005286.0,1.0,Harry-Brot GmbH,,Air-Terminal-Str. 4,4509.0,Wiedemar,034207/780,034207/78215,,,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Wiedemar,,Sachsen,34207.0,4500.0,2274.0,34*39,TDO,51°28´4.402128 12°12´39.590820,2.0,Bäckereien,DEUTSCHLAND,101 bis 500,SW Delitzsch* gesamtes Netzgebiet,4509001,75.45
66,66.0,143318659.0,1.0,Warsteiner Brauerei Haus Cramer KG,,Domring 4,59581.0,Warstein,02902/880,02902/881459,www.pressemeldung-aktuell.de,,,,,,,15.96.0,Herstellung von Bier,'nan,,'nan,,,,,,,Warstein,,Nordrhein-Westfalen,2902.0,59520.0,28629.0,157*91,SO,51°26´29.541984 8°21´8.893908,1.0,Brauereien,DEUTSCHLAND,501-1000,WESTNETZ* GV Warsteiner Verbundgesellschaft mbH,46483024,88.25
77,77.0,140993358.0,1.0,Bayernwald Früchteverwertung GmbH,,Schwanenkirchner Str. 28,94491.0,Hengersberg,09901/180,09901/18175,www.bayernwald.de,,,,,,,'15.8,Sonstiges Ernährungsgewerbe (ohne Getränkeherstellung),'nan,,'nan,,,,,,,Hengersberg,,Bayern,9901.0,94440.0,7566.0,45*8,DEG,48°46´8.50043 13°3´40.739940,1.0,,DEUTSCHLAND,101 bis 500,Gemeindliche Werke Hengersberg* gesamtes Stromnetz,94491001,119.3
78,78.0,196496920.0,1.0,Marten Vertriebs GmbH & Co. KG,,Bismarckstr. 25,33330.0,Gütersloh,05241/87801,05241/878456,www.marten.de,info@marten.de,,,,,,'51.1,Handelsvermittlung,15.13.0,Fleischverarbeitung,'nan,,,,,,,Innenstadt,,Nordrhein-Westfalen,5241.0,33240.0,96168.0,111*99,GT,51°54´39.770532 8°22´37.779563,1.0,Großhandel* Vertrieb* Ex-* Import,DEUTSCHLAND,101 bis 500,Netzgesellschaft Gütersloh mbH,33330001,75.04
86,86.0,166344448.0,1.0,Eckes-Granini Deutschland GmbH,,Pröhlsfeld 6,29683.0,Bad Fallingbostel,05162/4070,,,,,,,,,15.32.0,Herstellung von Frucht- und Gemüsesäften,'nan,,'nan,,,,,,,Fallingbostel,,Niedersachsen,5162.0,29650.0,11820.0,63*49,SFA,52°51´35.199791 9°41´25.512252,2.0,,DEUTSCHLAND,101 bis 500,SW Böhmetal* Stammgebiet,29664001,92.42
101,101.0,112374478.0,1.0,Steinhaus GmbH,,Tenter Weg 13,42897.0,Remscheid,02191/6950,02191/695270,www.steinhaus.net,service@steinhaus.net,,,,,,'15.1,Schlachten und Fleischverarbeitung,15.13.0,Fleischverarbeitung,'nan,,,,,,,Lennep,,Nordrhein-Westfalen,2191.0,42800.0,116827.0,74*6,RS,51°10´44.314248 7°14´53.377836,1.0,Fleisch- und Wurstwaren,DEUTSCHLAND,101 bis 500,EWR GmbH* gesamtes Stromnetz,42853001,77.79
103,103.0,157778107.0,1.0,Rheintal Tiefkühlkost Zweigniederlassung,der Frosta AG,Industriestr. 4,67240.0,Bobenheim-Roxheim,06239/8070,,,,,,,,,'15.89,Herstellung von sonstigen Nahrungsmitteln (ohne Getränke),'nan,,'nan,,,,,,,Roxheim,,Rheinland-Pfalz,6239.0,67200.0,10136.0,20*45,LU,49°34´21.143243 8°21´43.567452,2.0,,DEUTSCHLAND,101 bis 500,Gemeindewerke Bobenheim-Roxheim GmbH* gesamtes Stromnetz,67240001,70.53
105,105.0,172250925.0,1.0,Rila Feinkost-Importe GmbH & Co. KG,,Hinterm Teich 5,32351.0,Stemwede,05745/9450,05745/945139,www.rila.de,kontakt@rila.de,,,,,,'15.8,Sonstiges Ernährungsgewerbe (ohne Getränkeherstellung),'51.1,Handelsvermittlung,'55.30,Speisengeprägte Gastronomie,,,,,,Levern,,Nordrhein-Westfalen,5773.0,32290.0,14549.0,166*13,MI,52°21´59.825339 8°26´8.570759,1.0,Feinkost,DEUTSCHLAND,101 bis 500,Westnetz GmbH- Grundversorgung Elektrizitätsgesellschaft Levern eG -,46483019,88.25
107,107.0,126126946.0,1.0,Frankfurter Brauhaus GmbH,,Lebuser Chaussee 3,15234.0,Frankfurt,0335/6610,,www.frankfurterpilsener.de,kontakt@frankfurter-brauhaus.de,,,,,,'55,Gastgewerbe,15.96.0,Herstellung von Bier,'nan,,DE231522729,,,,,Frankfurt,Oder,Brandenburg,335.0,15200.0,65242.0,147*62,FF,52°22´1.6572 14°31´38.463132,1.0,Gaststätten und Restaurants,DEUTSCHLAND,101 bis 500,Netzgesellschaft Frankfurt (Oder) mbH* gesamtes Stromnetz,15230001,68.15
108,108.0,124863000.0,1.0,Barbarossabäckerei GmbH & Co. KG,,Marie-Curie-Str. 2,67661.0,Kaiserslautern,06301/32000,06301/320070,www.barbarossa-baeckerei.de,info@barbarossa-baeckerei.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,DE213935159,,,,,Siegelbach,,Rheinland-Pfalz,631.0,67600.0,99182.0,139*72,KL,49°28´55.554960 7°40´50.868227,1.0,Bäckereien,DEUTSCHLAND,501-1000,SWK Stadtwerke Kaiserslautern Versorgungs-AG,67659002,96.91
111,111.0,158791989.0,1.0,Halberstädter Bäcker und Konditoren GmbH,,Klusstr. 28,38820.0,Halberstadt,03941/623115,03941/623129,www.halberstaedter-baecker.de,info@halberstaedter-baecker.de,,,,,,15.81.2,Herstellung von Konditorwaren,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,,,,,,Halberstadt,,Sachsen-Anhalt,3941.0,38800.0,39878.0,82*22,HZ,51°52´56.608176 11°3´20.659247,1.0,Konditoreien,DEUTSCHLAND,101 bis 500,HALBERSTADTWERKE GmbH,38820001,111.0
128,128.0,194499958.0,1.0,Färber Emil GmbH & Co. KG,,Karl-Friedrich-Str. 98,79312.0,Emmendingen,07641/5860,07641/586206,www.faerber.de,info@faerber.de,,,,,,15.13.0,Fleischverarbeitung,'75,Öffentliche Verwaltung* Verteidigung* Sozialversicherung,'nan,,,,,,,Emmendingen,,Baden-Württemberg,7641.0,79300.0,26110.0,33*78,EM,48°7´28.949591 7°50´11.432363,1.0,Fleischwaren,DEUTSCHLAND,1001 bis 5000,Stadtwerke Emmendingen GmbH,79312001,51.98
129,129.0,171777050.0,1.0,Häuser GmbH,,Daimlerstr. 10,63741.0,Aschaffenburg,06021/3633,06021/363444,www.metzgereihaeuser.de,,,,,,,15.13.0,Fleischverarbeitung,15.11.2001,Schlachten (ohne Schlachten von Geflügel* Talgschmelzen und Schmalzsiedereien),52.22.0,Einzelhandel mit Fleisch* Fleischwaren* Geflügel und Wild,,,,,,Strietwald,,Bayern,6021.0,63700.0,68703.0,62*5,AB,49°59´6.195047 9°6´42.638615,1.0,Fleischwaren,DEUTSCHLAND,101 bis 500,Aschaffenburger Versorgungs GmbH (Regelgebiet transpower) Hafengebiet,63739004,58.02
138,138.0,103997124.0,1.0,Sternquell-Brauerei GmbH,,Dobenaustr. 83,8523.0,Plauen,03741/211254,03741/211257,www.sternquell.de,Info@Sternquell.de,,,,,,15.96.0,Herstellung von Bier,52.63.4,Sonstiger Einzelhandel* anderweitig nicht genannt (nicht in Verkaufsräumen),'nan,,DE141245131,,,,,Stadtmitte,,Sachsen,3741.0,8500.0,69422.0,102*12,V,50°29´56.781743 12°7´35.549328,1.0,Brauereien,DEUTSCHLAND,101 bis 500,Verteilnetz Plauen GmbH* gesamtes Stromnetz,6112401,93.63
140,140.0,191263432.0,1.0,Käserei Bayreuth e.G.,,Bindlacher Str. 12,95448.0,Bayreuth,0921/79760,,,,,,,,,'91.33,Interessenvertretungen und Vereinigungen* anderweitig nicht genannt,15.51.0,Milchverarbeitung,'nan,,,,,,,Industriegebiet,,Bayern,921.0,95400.0,74548.0,66*95,BT,49°58´1.805844 11°36´26.879075,2.0,Genossenschaften,DEUTSCHLAND,101 bis 500,BEW Bayreuth* gesamtes Stromnetz,95447001,85.51
145,145.0,198504321.0,1.0,Odenwald-Quelle GmbH & Co. KG,,Ludwigstr. 100,64646.0,Heppenheim,06252/1230,0800/0123222,www.odenwald-quelle.de,info@odenwald-quelle.de,,,,,,'93,Erbringung von sonstigen Dienstleistungen,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,74.87.8,Erbringung von sonstigen wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen* anderweitig nicht genannt,,,,,,Heppenheim,Bergstraße,Hessen,6252.0,64600.0,25388.0,52*14,HP,49°37´29.827416 8°38´34.565315,1.0,Dienstleistungen und Service,DEUTSCHLAND,101 bis 500,Stadtwerke Weinheim GmbH,69469001,93.03
155,155.0,177228183.0,1.0,Herta Produktions GmbH,,Westerholter Str. 750-770,45701.0,Herten,,,,,,,,,,'15.13,Fleischverarbeitung,'nan,,'nan,,,Recklinghausen,HRB 5494,Aenderung,20120620.0,Scherlebeck,,Nordrhein-Westfalen,2366.0,45600.0,65265.0,37*32,RE,51°36´15.744167 7°6´43.986023,1.0,,DEUTSCHLAND,1001 bis 5000,Hertener Stadtwerke GmbH* gesamtes Stromnetz,45699001,41.58
156,156.0,143456024.0,1.0,Herta GmbH,,Westerholter Str. 750-770,45701.0,Herten,02366/3010,02366/301370,www.herta.de,info@herta.de,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,DE170869663,,,,,Scherlebeck,,Nordrhein-Westfalen,2366.0,45600.0,65265.0,37*32,RE,51°36´15.744167 7°6´43.986023,1.0,,DEUTSCHLAND,501-1000,Hertener Stadtwerke GmbH* gesamtes Stromnetz,45699001,41.58
162,162.0,125165515.0,1.0,Bergland Naturkäse GmbH,,Hauptstr. 71,88161.0,Lindenberg,08381/9100,,,,,,,,,15.51.0,Milchverarbeitung,'nan,,'nan,,,,,,,Lindenberg,im Allgäu,Bayern,8381.0,88150.0,11438.0,11*85,LI,47°35´59.596260 9°53´7.497564,2.0,,DEUTSCHLAND,101 bis 500,E-Netze Allgäu* gesamtes Stromnetz,88161101,77.64
163,163.0,107175160.0,1.0,Rietsch Walter Fleischwarenfabrik GmbH,,Von-Bronsart-Str. 4,22885.0,Barsbüttel,040/11670857,040/6701530,www.rietsch-fleischwaren.de,info@rietsch-fleischwaren.de,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,,,,,,Barsbüttel,,Schleswig-Holstein,40.0,22000.0,12322.0,24*68,OD,53°34´10.89443 10°11´13.116336,1.0,Fleisch und Wurstkonserven,DEUTSCHLAND,101 bis 500,e-werk Sachsenwald GmbH - Grundversorgung E.On Energie Deutschland GmbH,21465002,127.25
164,164.0,185299770.0,1.0,Ehrmann AG,,Hauptstr. 19,87770.0,Oberschönegg,08333/3010,08333/301310,www.ehrmann.com,info@ehrmann.de,,,,,,15.51.0,Milchverarbeitung,'nan,,'nan,,,,,,,Dietershofen,,Bayern,8333.0,87680.0,967.0,18*28,MN,48°6´25.812000 10°17´59.64000,1.0,Milchindustrie,DEUTSCHLAND,101 bis 500,LEW Verteilnetz GmbH - Grundversorger EW Krumbach,86150002,93.12
165,165.0,186228898.0,1.0,Klemme AG,,Industriestr. 4,6295.0,Lutherstadt Eisleben,03475/7290,03475/729222,www.klemme-ag.com,info@klemme-ag.com,,,,,,'15.89,Herstellung von sonstigen Nahrungsmitteln (ohne Getränke),'nan,,'nan,,,Stendal,HRB 212874,Aenderung,20120611.0,Lutherstadt Eisleben,,Sachsen-Anhalt,3475.0,6280.0,24690.0,91*55,MSH,51°30´12.334716 11°35´25.64303,1.0,,DEUTSCHLAND,501-1000,Stadtwerke Lutherstadt Eisleben GmbH,6295001,126.15
173,173.0,116062819.0,1.0,Brohler Mineral- und Heilbrunnen GmbH,,Koblenzer Str. 71-73,56656.0,Brohl-Lützing,02633/2930,02633/29343,www.brohler.de,info@brohler.de,,,,,,'15.98,Gewinnung natürlicher Mineralwässer* Herstellung von Erfrischungsgetränken,'nan,,'nan,,DE149273400,,,,,Brohl,,Rheinland-Pfalz,2633.0,56600.0,2693.0,9*23,AW,50°29´21.936011 7°19´23.412359,1.0,Mineralwasser und -brunnen,DEUTSCHLAND,101 bis 500,SW Andernach* gesamtes Netzgebiet,56626001,81.38
174,174.0,126776188.0,1.0,Sektkellerei Schloß Wachenheim AG,,Niederkircher Str. 27,54294.0,Trier,0651/99880,0651/9988126,www.schloss-wachenheim.de,info@schloss-wachenheim.de,,,,,,15.93.0,Herstellung von Traubenwein,'nan,,'nan,,DE149371574,,,,,Zewen,,Rheinland-Pfalz,651.0,54181.0,100163.0,117*14,TR,49°43´24.52512 6°35´52.681811,1.0,Spirituosen- und Weinhersteller,DEUTSCHLAND,101 bis 500,SWT Stadtwerke Trier Versorgungs-GmbH* gesamtes Stromnetz,54290001,78.71
177,177.0,172321530.0,1.0,Raiffeisen-Kraftfutterwerke Süd GmbH,,Nördliche Hafenstr. 12,97080.0,Würzburg,0931/902423,0931/902360,www.desintec.de,,,,,,,'15.7,Herstellung von Futtermitteln,'nan,,'nan,,,,,,,Dürrbachau,,Bayern,931.0,97000.0,133539.0,87*55,WÜ,49°48´1.631519 9°53´7.927691,1.0,Futtermittel,DEUTSCHLAND,101 bis 500,Mainfranken Netze GmbH - Netz Stadtwerke Würzburg AG,97070001,88.03
181,181.0,115756338.0,1.0,Eggelbusch Heinrich,Fleischwarenfabrikation GmbH & Co.,In der Heide 20,33428.0,Harsewinkel,02588/93000,02588/930033,www.eggelbusch.de,info@eggelbusch.de,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,,,,,,Harsewinkel,,Nordrhein-Westfalen,5247.0,33240.0,24206.0,100*45,GT,51°59´1.958135 8°10´10.642223,1.0,Fleisch und Wurstkonserven,DEUTSCHLAND,101 bis 500,SW Harsewinkel* gesamtes Netzgebiet,33428001,63.55
183,183.0,164826422.0,1.0,Xaver Fassin GmbH,,Dechant-Sprünken-Str. 53-57,46446.0,Emmerich,02822/6010,02822/601214,www.gletschereis.de,info@katjes.de,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,DE120095766,Kleve,HRB 2760,Aenderung,20100625.0,Emmerich,am Rhein,Nordrhein-Westfalen,2822.0,46420.0,29390.0,80*1,KLE,51°50´32.7408 6°16´20.347140,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Emmerich GmbH* gesamtes Stromnetz,46446001,45.39
186,186.0,129269386.0,1.0,Katjes Holding GmbH & Co. KG,,Dechant-Sprünken-Str. 53-57,46446.0,Emmerich,,,,,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,Kleve,HRA 3673,Aenderung,20110708.0,Emmerich,am Rhein,Nordrhein-Westfalen,2822.0,46420.0,29390.0,80*1,KLE,51°50´32.7408 6°16´20.347140,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Emmerich GmbH* gesamtes Stromnetz,46446001,45.39
187,187.0,148335680.0,1.0,Katjes Fassin GmbH & Co. KG,,Dechant-Sprünken-Str. 53-57,46446.0,Emmerich,,,,,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,Kleve,HRA 1061,Aenderung,20110708.0,Emmerich,am Rhein,Nordrhein-Westfalen,2822.0,46420.0,29390.0,80*1,KLE,51°50´32.7408 6°16´20.347140,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Emmerich GmbH* gesamtes Stromnetz,46446001,45.39
188,188.0,181006435.0,1.0,Katjes Bonbon GmbH & Co. KG,,Dechant-Sprünken-Str. 53-57,46446.0,Emmerich,,,,,,,,,,15.84.0,Herstellung von Süßwaren (ohne Dauerbackwaren),'nan,,'nan,,,Potsdam,HRA 3936 P,Aenderung,20110809.0,Emmerich,am Rhein,Nordrhein-Westfalen,2822.0,46420.0,29390.0,80*1,KLE,51°50´32.7408 6°16´20.347140,1.0,,DEUTSCHLAND,101 bis 500,Stadtwerke Emmerich GmbH* gesamtes Stromnetz,46446001,45.39
194,194.0,190824504.0,1.0,Baackes & Heimes GmbH,,Eintrachtstr. 43,41751.0,Viersen,02162/48920,02162/489219,www.baackes-heimes.de,,,,,,,51.87.3,Großhandel mit sonstigen Ausrüstungen und Zubehör für Maschinen sowie technischem Bedarf,15.51.0,Milchverarbeitung,74.82.0,Abfüll- und Verpackungsgewerbe,,,,,,Dülken,,Nordrhein-Westfalen,2162.0,41700.0,76485.0,91*07,VIE,51°14´52.843523 6°20´18.164292,1.0,Verpackungsmaterial,DEUTSCHLAND,101 bis 500,NEW Netz GmbH - Grundversorgung NEW Viersen GmbH -,52511305,68.88
195,195.0,151707893.0,1.0,Hasseröder Brauerei GmbH,,Auerhahnring 1,38855.0,Wernigerode,03943/9360,03943/632140,www.hasseroeder.de,info@hasseroeder.de,,,,,,15.96.0,Herstellung von Bier,'nan,,'nan,,,,,,,Wernigerode,,Sachsen-Anhalt,3943.0,38840.0,34335.0,125*17,HZ,51°50´45.871440 10°45´8.199324,1.0,Brauereien,DEUTSCHLAND,101 bis 500,Stadtwerke Wernigerode GmbH,38855001,108.92
201,201.0,199780339.0,1.0,Glocken-Beune GmbH & Co.,,Hesselteicher Str. 16,33829.0,Borgholzhausen,05425/94490,05425/5048,www.beune.de,info@glocken-beune.de,,,,,,15.13.0,Fleischverarbeitung,'nan,,'nan,,,,,,,Oldendorf,,Nordrhein-Westfalen,5425.0,33500.0,8725.0,55*85,GT,52°4´40.301544 8°15´46.120607,1.0,Fleisch und Wurstkonserven,DEUTSCHLAND,101 bis 500,SWV Regional* Außengebiet Bad Rothefelde und Dissen,33775202,57.66
206,206.0,177851147.0,1.0,bofrost Dienstleistungs GmbH,,An der Oelmühle 6,47638.0,Straelen,02834/7070,02834/707117,www.mit-bofrost.ch,,Geschf.,Herr,,Carsten,Teschner,'15.89,Herstellung von sonstigen Nahrungsmitteln (ohne Getränke),'74.87,Erbringung von wirtschaftlichen Dienstleistungen für Unternehmen und Privatpersonen* anderweitig nicht genannt,'nan,,,Kleve,HRB 3794,Aenderung,20120622.0,Straelen,,Nordrhein-Westfalen,2834.0,47590.0,15392.0,74*04,KLE,51°26´35.979323 6°16´47.321616,1.0,,DEUTSCHLAND,501-1000,NG Niederrhein* Netz Wachtendonk GV innogy SE,47804203,94.4
207,207.0,138783886.0,1.0,Kronenbrot KG,,Fronhofstr. 30,52146.0,Würselen,02405/484277,02405/484264,www.kronenbrot.de,info@kronenbrot.de,,,,,,15.81.1,Herstellung von Backwaren (ohne Konditor- und Dauerbackwaren),'nan,,'nan,,,,,,,Broichweiden,,Nordrhein-Westfalen,2405.0,52000.0,37130.0,34*39,AC,50°50´22.300367 6°10´49.107432,1.0,,DEUTSCHLAND,501-1000,enwor - energie & wasser vor ort GmbH* gesamtes Stromnetz,52134001,87.74
